"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_lung_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_lung_DESq","nCPM_ratio_DESq"
"62","ENSG00000176973.7","female_placenta",2.41987732540615,0.346869930480817,6.97632487789246,"female_placenta",2.51389820435929,0.356244493178682,7.05666544324207
"63","ENSG00000036672.15","female_placenta",2.43381629861118,0.731888100822136,3.32539399927018,"female_liver",2.41853022476351,0.748298808591501,3.23203805350944
"64","ENSG00000169783.12","female_placenta",3.19905671288108,0.658690767547239,4.85668977082126,"female_placenta",3.35430167571607,0.667724965732902,5.0234780004584
"65","ENSG00000184207.8","female_placenta",13.343184830714,2.33907457206857,5.70447175564561,"female_placenta",13.7634417138775,2.85706142881713,4.81734189368682
"66","ENSG00000239697.10","female_placenta",3.96527682692243,0.725101996476737,5.46857800170137,"female_placenta",4.16751598371639,0.773977504396841,5.38454407271711
"67","ENSG00000220205.8","female_placenta",14.6670375247801,4.77533816811321,3.07141337606572,"female_placenta",15.3085789447971,5.07020281107039,3.01932279935075
"68","ENSG00000239672.7","female_placenta",8.14484638982038,1.11822751923815,7.28371127493757,"female_placenta",8.41140132349173,1.32260281622595,6.3597334137649
"69","ENSG00000262814.7","female_placenta",1.43301532036444,0.160375901796734,8.9353531566151,"female_placenta",1.46974595117743,0.165291472831023,8.89184375941732
"70","ENSG00000241837.6","female_placenta",16.0374984341358,0.985813266737397,16.2682923584634,"female_placenta",16.5474168426535,1.17602839736992,14.0705929207664
"71","ENSG00000156298.12","female_placenta",4.84511579052635,1.57575604015641,3.07478801734146,"female_placenta",5.06751384750249,1.66059239580066,3.0516301654261
"72","ENSG00000198763.3","female_placenta",257.423880165619,32.5010976134228,7.92046727859751,"female_placenta",278.535173059393,45.6433435642716,6.10242702021118
"73","ENSG00000228253.1","female_placenta",68.5142120011663,10.0541729280593,6.81450503103602,"female_placenta",74.3920394592006,19.1187471492387,3.89105200662497
"74","ENSG00000198886.2","female_placenta",1233.57553395777,241.227226803059,5.11374918290163,"female_placenta",1325.57560185538,422.436262742482,3.13793042588168
"75","ENSG00000198786.2","female_placenta",863.134812425335,149.86114488737,5.75956371529148,"female_muscle",908.56669559886,228.49074186113,3.97638297376206
